Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
52255,840.789,315.8166169,211.1707521,1.495550941,0.743577366,52689,257.9401722,0.802638855,0.991762987,0.928888687,0.816740343,0.006043759,0.00165891,0.667064789,0.997629372,SEKER
52345,839.624,289.346965,230.7840721,1.253756216,0.603182474,52832,258.1622048,0.762601981,0.990782102,0.933072479,0.892223648,0.005527691,0.002160819,0.796063039,0.998068983,SEKER
52371,841.309,281.5560374,237.2384123,1.186806279,0.538543831,52919,258.226312,0.757846755,0.989644551,0.929800255,0.917140028,0.005376182,0.002346369,0.841145831,0.998277153,SEKER
52530,831.059,296.6304835,225.9183413,1.312998678,0.648029319,52917,258.6180065,0.749571918,0.99268666,0.955770343,0.871852425,0.005646878,0.002012612,0.760126652,0.998045289,SEKER
52578,837.158,309.191422,216.8089582,1.426100769,0.712952116,53008,258.7361374,0.799179207,0.991888017,0.942755474,0.83681538,0.005880623,0.001778778,0.700259981,0.998641297,SEKER
52737,835.521,277.7966904,241.9587178,1.148116063,0.491297051,53211,259.1270612,0.790067416,0.991092067,0.949315441,0.932793911,0.005267586,0.002459995,0.87010448,0.99898093,SEKER
52807,839.524,298.0882333,225.8175693,1.32004004,0.652773918,53201,259.2989792,0.768705601,0.992594124,0.941532092,0.869873247,0.005644862,0.001993687,0.756679465,0.998847191,SEKER
52829,846.266,298.2441132,226.0495163,1.319375144,0.65233061,53408,259.3529871,0.746805202,0.989158928,0.926975954,0.869599686,0.005645462,0.001991392,0.756203613,0.997716251,SEKER
53037,853.987,306.6590107,220.4891453,1.390812279,0.69500563,53549,259.8630519,0.766896093,0.990438664,0.913873945,0.847400673,0.005781983,0.001839127,0.7180879,0.998725468,SEKER
53149,853.122,317.7498966,213.4616369,1.488557388,0.740740414,53609,260.1372879,0.744216982,0.991419351,0.917661853,0.818685673,0.005978474,0.001656681,0.670246231,0.997699979,SEKER
53187,835.257,296.3062454,228.7238817,1.295475764,0.635723104,53606,260.2302666,0.78731404,0.992183711,0.95802118,0.87824766,0.005571028,0.002044481,0.771318952,0.999225009,SEKER
53192,851.357,317.7812988,213.3266018,1.489646843,0.741185701,53597,260.2424982,0.799062613,0.992443607,0.922216231,0.81893585,0.005974231,0.00165753,0.670655927,0.999040484,SEKER
53507,843.007,299.6543401,227.6097554,1.316526788,0.650420466,53987,261.0119314,0.753407491,0.991108971,0.946145884,0.871043387,0.005600283,0.001988607,0.758716582,0.998870705,SEKER
53566,844.976,288.4270428,237.1784295,1.216076198,0.569029813,54171,261.1557954,0.766312356,0.988831663,0.94277994,0.905448369,0.005384517,0.002232448,0.819836748,0.996983956,SEKER
53662,833.123,283.7432074,241.0508894,1.177109149,0.527525994,54024,261.3897099,0.786532993,0.993299274,0.971535044,0.921219268,0.0052876,0.00234904,0.848644941,0.998947724,SEKER
53674,835.455,283.723264,241.0759436,1.17690409,0.527287545,54066,261.4189345,0.778222416,0.992749602,0.96633498,0.921387026,0.005286047,0.002350061,0.848954052,0.999137496,SEKER
53933,848.827,287.3916081,239.1941696,1.201499219,0.554335202,54470,262.0489045,0.792293454,0.990141362,0.940645694,0.91181822,0.005328678,0.002272126,0.831412467,0.998941429,SEKER
53939,865.418,327.9582681,209.8994434,1.562454206,0.768359284,54446,262.0634805,0.767509036,0.990688021,0.905025689,0.799075693,0.00608017,0.00152914,0.638521964,0.997661328,SEKER
54087,873.614,325.2931179,212.0609615,1.533960403,0.758298661,54762,262.4227644,0.769286568,0.987673934,0.890560825,0.806727071,0.006014257,0.001571333,0.650808568,0.998314573,SEKER
54136,892.691,337.7261379,204.8845378,1.648372988,0.794962317,54637,262.5416081,0.671870928,0.99083039,0.853677264,0.777380187,0.006238476,0.001405375,0.604319955,0.996144689,SEKER
54282,854.73,286.0227064,242.1620824,1.18112094,0.532144817,54824,262.8953955,0.788466846,0.990113819,0.93370097,0.919141696,0.0052692,0.00231982,0.844821457,0.997836314,SEKER
54421,860.505,325.1132725,213.6953131,1.521387005,0.753633429,54873,263.2317786,0.785295815,0.991762798,0.923569507,0.809661742,0.005974041,0.001583662,0.655552137,0.997348502,SEKER
54694,846.959,298.9429905,233.4474724,1.280557838,0.624643967,55081,263.8911966,0.78651136,0.992973984,0.958130744,0.882747564,0.005465736,0.002047267,0.779243262,0.997866067,SEKER
54801,871.432,327.957559,213.0951501,1.539019348,0.760135653,55357,264.1492008,0.730202934,0.989956103,0.906841403,0.805437148,0.005984518,0.001553587,0.648728999,0.99840648,SEKER
55107,850.202,297.8084705,235.9882769,1.261962986,0.609980703,55515,264.8856576,0.760096552,0.992650635,0.958015175,0.88944971,0.005404186,0.002086391,0.791120786,0.998365149,SEKER
55191,862.202,297.5859178,236.6141496,1.257684371,0.606462551,55791,265.0874643,0.754408267,0.989245577,0.932953665,0.89079304,0.005391928,0.002094263,0.793512239,0.997987941,SEKER
55238,878.591,338.8208253,208.090406,1.628238571,0.789181057,55721,265.2003129,0.770168149,0.991331814,0.899237293,0.782715504,0.006133836,0.001420129,0.61264356,0.997529874,SEKER
56201,881.138,339.0068474,211.7934967,1.600648049,0.780827278,56601,267.5020293,0.784886319,0.992932987,0.90963266,0.789075593,0.006032043,0.001442509,0.622640292,0.996627969,SEKER
56204,899.17,300.3835241,238.9591697,1.257049581,0.605935772,57330,267.5091688,0.751671749,0.980359323,0.873561473,0.890558727,0.005344522,0.002073666,0.793094846,0.996959544,SEKER
56493,877.951,321.3010809,224.3158962,1.432359838,0.715952895,57079,268.1960507,0.712980375,0.989733527,0.921009153,0.834718794,0.005687449,0.00170317,0.696755465,0.998004545,SEKER
56525,872.803,320.9125419,225.0322995,1.426073247,0.712938806,57058,268.2719987,0.786511382,0.990658628,0.932433728,0.835966077,0.005677356,0.001710332,0.698839281,0.996596003,SEKER
56693,933.372,304.4774001,237.5330527,1.281831714,0.625612942,57737,268.6703733,0.777425813,0.981918008,0.817767348,0.882398409,0.005370635,0.002008465,0.778626952,0.99806872,SEKER
57144,878.194,314.6127709,231.565,1.358636974,0.676946976,57621,269.7369099,0.78873706,0.991721768,0.931106953,0.857361604,0.005505613,0.001835023,0.73506892,0.998691813,SEKER
57649,896.189,323.5467601,228.3917681,1.416630568,0.708311167,58415,270.9261643,0.789160997,0.98688693,0.901991457,0.837363243,0.005612357,0.001702083,0.701177201,0.993309056,SEKER
57994,906.71,339.931533,217.4740111,1.563090372,0.768576183,58461,271.7356328,0.787362876,0.992011769,0.886453823,0.799383424,0.005861495,0.001476416,0.639013859,0.998836411,SEKER
59385,910.603,310.991389,243.6819281,1.276218517,0.621309979,60094,274.975145,0.790882576,0.988201817,0.899970909,0.884188935,0.005236868,0.001974384,0.781790073,0.997734968,SEKER
61150,896.72,309.1991816,252.2876489,1.225581922,0.578138102,61640,279.0315361,0.779278705,0.992050616,0.955636245,0.902432971,0.005056405,0.002068624,0.814385268,0.998095861,SEKER
41487,815.9,299.046841,177.0814896,1.688752684,0.805825541,42483,229.8323062,0.68917572,0.976555328,0.783155548,0.76854952,0.007208206,0.001551295,0.590668365,0.997492788,BARBUNYA
82036,1144.187,415.2153227,253.1120842,1.640440535,0.792715061,83728,323.1895408,0.701888278,0.979791706,0.787445168,0.778366123,0.005061379,0.001145999,0.605853821,0.993867166,BARBUNYA
82109,1153.754,390.6378815,269.3704772,1.450188178,0.724223149,83618,323.3333045,0.717911727,0.981953646,0.775129361,0.827705965,0.004757553,0.001377424,0.685097164,0.993519807,BARBUNYA
82299,1145.17,421.062064,249.7111946,1.686196186,0.805165043,83888,323.7071845,0.770503314,0.981058077,0.788614027,0.768787341,0.005116248,0.001102443,0.591033975,0.996599235,BARBUNYA
82319,1166.127,391.4223967,268.9452484,1.455398074,0.72656547,83725,323.7465152,0.69030608,0.983206927,0.760708464,0.827102685,0.004754946,0.00137266,0.684098851,0.995636151,BARBUNYA
82346,1149.477,388.1352926,270.9941588,1.432264423,0.715907539,83842,323.799604,0.770597043,0.982156914,0.783162349,0.834244167,0.004713469,0.001408293,0.695963331,0.996803519,BARBUNYA
82419,1136.792,388.4967581,272.1324999,1.427601475,0.713676351,83738,323.9430969,0.70901114,0.984248489,0.801447701,0.833837323,0.00471368,0.001405611,0.695284682,0.992589437,BARBUNYA
82427,1206.126,429.8247672,245.2583275,1.752538931,0.821227619,84490,323.9588183,0.690632593,0.975582909,0.712022961,0.753699747,0.005214611,0.001037995,0.568063309,0.995553064,BARBUNYA
82477,1259.908,416.7420733,253.6238754,1.64315001,0.79348703,85026,324.0570597,0.685628543,0.970020935,0.652927638,0.777596217,0.005052828,0.001139543,0.604655877,0.99354031,BARBUNYA
82596,1180.392,436.6842287,241.4348694,1.808704061,0.83325953,84186,324.2907545,0.657402101,0.981113249,0.744931544,0.742620716,0.00528699,0.000991874,0.551485527,0.997474113,BARBUNYA
82624,1160.196,418.8289347,251.6113121,1.664587062,0.799437256,84071,324.345717,0.70739726,0.982788357,0.771353319,0.774410959,0.005069095,0.001124595,0.599712334,0.998273391,BARBUNYA
82632,1104.57,384.8359963,275.5373077,1.396674735,0.698114313,83677,324.3614189,0.764113518,0.987511503,0.851082462,0.842856235,0.004657227,0.001449844,0.710406633,0.992206995,BARBUNYA
82632,1101.047,385.5239907,273.2055017,1.411113569,0.70554996,83895,324.3614189,0.760435839,0.984945468,0.856537561,0.841352099,0.004665553,0.001442096,0.707873355,0.998889697,BARBUNYA
82710,1143.233,409.4419119,258.2962419,1.585164031,0.775905186,83999,324.5144723,0.701383942,0.984654579,0.7952403,0.792577562,0.004950331,0.001204984,0.628179192,0.99576706,BARBUNYA
82805,1130.202,394.8044776,268.0019704,1.473140205,0.734302849,84138,324.7007861,0.724656072,0.98415698,0.814618526,0.822434406,0.004767882,0.001345583,0.676398353,0.996429608,BARBUNYA
82845,1137.84,404.1093684,261.6892488,1.544233744,0.762005663,84027,324.779202,0.757633954,0.985933093,0.804106869,0.803691346,0.004877897,0.001255364,0.645919779,0.997451118,BARBUNYA
82869,1142.012,420.4983344,251.7673417,1.670186179,0.800946707,83981,324.8262425,0.687002587,0.98675891,0.798473721,0.772479261,0.005074254,0.001114549,0.596724208,0.996640525,BARBUNYA
82877,1162.581,391.8170128,270.8361443,1.446693955,0.722633674,84171,324.8419212,0.825986426,0.984626534,0.770544002,0.829065381,0.004727693,0.001377794,0.687349407,0.994384232,BARBUNYA
82885,1156.62,412.9039409,257.1367989,1.60577538,0.782419206,84160,324.8575991,0.810325949,0.984850285,0.778582092,0.786763135,0.004981649,0.001177413,0.618996231,0.993968908,BARBUNYA
82952,1154.249,404.4525056,261.9958139,1.543736518,0.76182836,84639,324.9888717,0.708918743,0.98006829,0.782415979,0.803527898,0.004875741,0.001253788,0.645657083,0.996724417,BARBUNYA
82998,1186.993,392.1350204,272.2095469,1.44056307,0.719808193,84544,325.0789685,0.787726358,0.981713664,0.740254704,0.828997543,0.004724632,0.001376451,0.687236926,0.990008136,BARBUNYA
83008,1139.263,414.1048469,255.784557,1.618959533,0.786429016,84045,325.0985514,0.80023137,0.987661372,0.803677534,0.785063382,0.004988734,0.001168931,0.616324513,0.997804446,BARBUNYA
83112,1139.537,393.3455569,269.348653,1.460358359,0.728765425,84375,325.3021442,0.747309266,0.985031111,0.804297531,0.827013649,0.004732717,0.001365655,0.683951575,0.9988144,BARBUNYA
83117,1110.906,379.3635301,279.9034803,1.355336953,0.674993251,84252,325.3119291,0.759975496,0.98652851,0.846340451,0.857520303,0.004564211,0.00152238,0.735341069,0.996634925,BARBUNYA
83127,1093.874,410.1196953,259.0515289,1.583158752,0.775254831,83960,325.3314981,0.695140614,0.990078609,0.873006288,0.793259875,0.004933652,0.001205064,0.629261229,0.996220422,BARBUNYA
83168,1154.625,400.2559405,265.0542163,1.510090826,0.749316689,84772,325.4117184,0.71336181,0.981078658,0.783942498,0.813009091,0.00481262,0.001297009,0.660983782,0.998145546,BARBUNYA
83175,1111.879,400.1873429,266.1833759,1.503427258,0.746712517,84511,325.4254126,0.802731265,0.984191407,0.845449395,0.813182671,0.00481139,0.001297785,0.661266057,0.994165415,BARBUNYA
83203,1124.194,368.1338194,289.4455898,1.27185845,0.617907225,84723,325.4801835,0.809005698,0.982059181,0.827306285,0.884135514,0.004424526,0.001667715,0.781695606,0.994206163,BARBUNYA
83242,1136.826,401.0345748,265.7398989,1.509124435,0.748941712,84536,325.5564562,0.705590167,0.984692912,0.80940219,0.811791493,0.004817695,0.001290616,0.659005428,0.994521194,BARBUNYA
83334,1157.753,413.4552211,257.4347018,1.606058617,0.782506607,84564,325.7363109,0.787150036,0.985454803,0.781268406,0.787839394,0.004961423,0.001179062,0.620690911,0.996865986,BARBUNYA
83470,1156.057,416.9460405,256.495605,1.625548479,0.788389045,84731,326.0020012,0.814262023,0.985117607,0.78484118,0.781880554,0.00499516,0.001151571,0.611337201,0.993758257,BARBUNYA
83492,1168.303,425.0382554,251.072027,1.692893711,0.806887939,85361,326.0449602,0.670753163,0.978104755,0.768676749,0.767095564,0.005090766,0.001087329,0.588435604,0.996158933,BARBUNYA
83580,1218.142,400.899182,266.2635976,1.505647733,0.747585147,85345,326.2167395,0.797458209,0.979319234,0.707809514,0.813712659,0.004796592,0.00129717,0.662128292,0.996931961,BARBUNYA
83735,1191.134,403.2032319,265.0398653,1.521292774,0.753597917,85557,326.5190856,0.747941119,0.978704256,0.74164427,0.80981267,0.004815229,0.001277424,0.65579656,0.997658568,BARBUNYA
83906,1206.297,447.4269964,239.8060077,1.86578727,0.84423907,85675,326.8523172,0.647547752,0.979352203,0.724593421,0.730515413,0.005332479,0.000936756,0.533652769,0.995682543,BARBUNYA
83982,1174.925,412.0556943,260.2859528,1.583088483,0.775231987,85570,327.0003111,0.741956003,0.981442094,0.764497003,0.793582799,0.004906476,0.001200379,0.629773658,0.996987425,BARBUNYA
84005,1170.688,412.4733267,260.4731463,1.583554131,0.7753833,85663,327.0450855,0.798526616,0.980645086,0.770251702,0.792887841,0.004910104,0.001197064,0.628671129,0.995534762,BARBUNYA
84049,1146.398,395.451249,271.3095062,1.457565031,0.727530127,85440,327.1307239,0.788082513,0.983719569,0.803658561,0.827234014,0.004705008,0.001359107,0.684316113,0.997435237,BARBUNYA
84154,1169.542,416.68229,258.0397874,1.61479861,0.785176322,85493,327.3349976,0.7574822,0.984337899,0.773130813,0.785574538,0.004951426,0.001163214,0.617127355,0.996536395,BARBUNYA
84171,1135.22,407.5999068,263.9065404,1.54448581,0.762095465,85583,327.3680585,0.735047288,0.983501396,0.82075263,0.803160288,0.004842522,0.001242969,0.645066448,0.996295975,BARBUNYA
84185,1175.084,408.7205273,263.6448984,1.550269054,0.764140939,85882,327.3952826,0.680673356,0.98024033,0.76613756,0.80102481,0.004855028,0.001232978,0.641640746,0.994715792,BARBUNYA
84221,1205.045,397.284229,271.9564098,1.460837894,0.728976568,86303,327.4652771,0.705014231,0.975875694,0.728825783,0.824259443,0.004717164,0.001343125,0.679403629,0.992498566,BARBUNYA
84228,1129.158,396.6203286,271.6941329,1.459804539,0.728521238,85605,327.4788854,0.74514314,0.983914491,0.830150666,0.825673476,0.004708889,0.001349993,0.681736689,0.995202313,BARBUNYA
84292,1151.256,427.410553,251.9554875,1.696373265,0.807773556,85440,327.6032779,0.718761192,0.98656367,0.799194358,0.766483831,0.005070595,0.00107957,0.587497463,0.996614989,BARBUNYA
84334,1123.665,370.9664234,290.3691275,1.277568406,0.622352684,85612,327.6848849,0.778276117,0.985072186,0.839341809,0.883327612,0.004398777,0.001651958,0.78026767,0.996845323,BARBUNYA
84390,1131.241,396.2597491,271.6921699,1.458487925,0.727939277,85574,327.7936625,0.773588538,0.986164022,0.828687097,0.827219174,0.004695577,0.001356285,0.684291563,0.998030981,BARBUNYA
84439,1151.132,400.1092453,270.1285013,1.481181154,0.737692493,86044,327.8888133,0.727765568,0.981346753,0.800760591,0.819498218,0.004738441,0.001318279,0.671577329,0.994727683,BARBUNYA
84523,1141.272,431.6951295,250.5840348,1.72275592,0.814284997,85773,328.0518649,0.780049097,0.985426649,0.815467097,0.759915604,0.005107428,0.001050615,0.577471725,0.994842832,BARBUNYA
84566,1213.89,422.2427042,255.557956,1.652238541,0.796043446,86165,328.1353004,0.787085125,0.981442581,0.721185498,0.777124855,0.004993055,0.001123335,0.60392304,0.997824923,BARBUNYA
84569,1198.651,418.4177751,260.8692699,1.603936621,0.781850438,86785,328.1411206,0.681898081,0.974465633,0.739665828,0.784242784,0.00494765,0.001154465,0.615036744,0.986479956,BARBUNYA
84584,1126.361,394.41481,274.3782349,1.437485777,0.718372101,85824,328.1702205,0.803572107,0.985551827,0.837804857,0.832043352,0.004662995,0.001378569,0.692296139,0.995165854,BARBUNYA
84664,1143.2,396.7575391,272.9980833,1.453334523,0.725641632,86180,328.3253764,0.759134559,0.982408912,0.814074621,0.827521456,0.00468626,0.001355574,0.68479176,0.995231506,BARBUNYA
84700,1159.78,417.0012702,259.1163751,1.609320407,0.783509107,86013,328.3951727,0.805010645,0.984734866,0.7913016,0.787516001,0.004923274,0.001168076,0.620181452,0.998070666,BARBUNYA
84975,1178.198,428.4313179,252.9555608,1.693701916,0.807094217,86293,328.9278497,0.750145659,0.984726455,0.769244633,0.767749312,0.005041851,0.001080557,0.589439007,0.998333975,BARBUNYA
85083,1129.571,375.3635055,289.2597977,1.297669114,0.637304027,86711,329.1368107,0.760702024,0.981224989,0.837964443,0.876848191,0.004411733,0.001608743,0.76886275,0.997729444,BARBUNYA
85099,1161.055,428.0509995,255.1448778,1.677678201,0.80293851,86211,329.1677566,0.799607239,0.987101414,0.793284072,0.768991912,0.005030036,0.00108502,0.591348561,0.99209259,BARBUNYA
85477,1117.431,414.7149833,263.45565,1.574135849,0.772290788,86390,329.8980093,0.791483018,0.989431647,0.86023618,0.795481289,0.004851773,0.001198395,0.632790481,0.99609818,BARBUNYA
85505,1160.758,432.1542312,253.6821412,1.703526426,0.809574168,87053,329.9520378,0.739381204,0.982217729,0.797476702,0.763505281,0.00505414,0.001059437,0.582940315,0.99305423,BARBUNYA
85561,1167.001,410.0627937,266.3503482,1.539561696,0.760331253,86847,330.0600683,0.734051132,0.98519235,0.789483867,0.804901282,0.004792637,0.001240866,0.647866074,0.997429791,BARBUNYA
